county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
10,1,2,1.0,862,4792,1941,360000
56,1,3,1.0,1750,4792,1941,314999
20,1,5,4.0,3000,21780,2021,540000
48,1,3,2.5,4448,11326,2024,777400
48,1,3,2.0,1050,4792,1998,379900
34,1,3,2.0,1492,8276,1954,575000
34,2,5,3.0,3622,1307,2024,588900
34,1,4,1.0,2538,9148,1985,639900
56,1,6,3.5,3598,10019,2007,649999
48,1,3,2.5,4054,9148,2024,632525
52,0,2,2.0,1142,0,1997,425000
56,0,2,2.0,1100,3485,2002,505000
34,2,3,1.5,2064,1742,2021,509900
48,1,7,4.5,5968,21780,1999,2050000
34,2,3,2.5,2280,1307,2024,501900
48,1,4,3.0,2252,11761,1986,525000
42,2,4,3.5,2390,1307,1996,1100000
42,1,4,3.5,2390,1307,1996,1100000
52,1,3,2.0,1499,10019,1977,375000
48,1,6,4.5,7431,90169,1986,3999000
52,2,3,2.5,1430,871,2006,309900
34,0,2,1.0,859,436,1979,245999
52,1,3,2.0,1322,4356,1994,315000
34,1,5,2.0,1566,8712,1953,479000
34,1,7,3.5,4647,10454,2005,999900
34,1,3,2.5,2676,4792,2024,623960
42,0,2,2.0,817,871,1978,825000
34,1,3,1.0,2304,8712,1977,459000
52,1,4,4.0,4572,3049,1986,639999
44,1,5,3.0,3647,12197,2024,680000
52,2,4,4.5,2319,2614,2024,714900
52,2,3,3.5,1624,1742,2024,600000
34,1,3,1.5,1708,12197,1954,600000
34,2,4,3.5,2004,436,2001,454990
34,1,3,2.5,3072,3049,2021,594000
52,2,4,2.5,2003,1742,2024,410000
34,1,6,3.5,3624,4792,2016,673999
52,1,4,4.0,2707,10454,2021,825000
52,2,4,4.5,2319,2614,2024,790000
52,1,3,2.0,1464,8276,2007,435000
34,0,3,3.0,2950,1742,1999,535000
56,0,2,1.0,1116,871,1979,227000
52,1,6,3.5,3364,7841,2019,699900
52,1,4,2.5,2653,10890,2015,698000
48,1,4,1.0,1542,7841,1999,499900
52,1,3,2.0,1748,14375,2020,599000
48,1,5,3.5,3631,10890,2005,667000
34,0,2,2.0,1183,436,2005,337000
48,1,4,2.5,4807,13939,2024,1239800
34,1,4,1.5,2100,7841,1956,500000
0,1,3,3.0,2421,10019,1972,309900
48,1,3,2.0,2071,8712,1959,489900
42,0,3,3.0,1757,0,2022,2650000
34,0,2,1.0,894,436,1973,280000
4,1,7,4.0,4498,43560,2003,895000
52,2,3,3.5,1624,1742,2024,599900
48,2,3,2.5,1449,2178,2024,389990
34,1,5,3.0,3746,20038,2003,750000
34,1,4,2.0,1730,10019,1962,579900
48,2,4,3.0,2086,2178,2005,429900
56,1,3,2.0,1340,5663,1924,374999
10,1,5,2.0,1965,6098,1990,510000
52,1,4,2.0,2016,15246,1989,347000
34,1,3,2.0,1641,4792,1917,549900
34,2,3,2.5,2152,436,2024,539900
52,1,4,4.0,3157,14810,2021,1325000
48,1,6,3.5,4205,10019,2020,1275000
4,2,3,2.5,1632,871,2020,360000
48,1,4,1.5,2047,5227,2018,510000
56,0,2,1.0,792,2178,1985,225000
48,1,4,2.0,1704,10019,1993,500000
48,1,4,2.5,3733,8276,2024,614990
34,1,3,1.0,2038,9583,1949,475000
34,1,3,1.0,1868,4792,1923,595000
52,1,5,3.5,3365,7841,2019,699900
34,0,2,1.0,1317,436,1978,375000
34,1,3,1.0,1534,3485,1922,640000
52,2,3,2.5,1451,871,2014,325000
48,1,4,2.5,3007,5227,2024,469389
56,1,3,1.0,1394,5663,1897,325000
34,1,5,3.5,2842,4356,2020,749900
42,0,3,2.0,1328,4356,2007,850000
52,1,4,3.0,2221,10019,2005,550000
48,1,6,3.0,2996,6970,2008,669000
10,1,4,2.5,1921,8712,2000,489000
52,1,3,2.0,1401,39640,1992,499000
