iter	RMSE
0	0.2631152666
1	0.2592496777
2	0.2547991688
3	0.2508859042
4	0.2481339758
5	0.2444337058
6	0.2393482064
7	0.2357518646
8	0.2339561326
9	0.2301234324
10	0.2256535205
11	0.2231053849
12	0.2180124263
13	0.2161111693
14	0.2136554094
15	0.2103828477
16	0.2073222002
17	0.2041383498
18	0.2017966853
19	0.1993975321
20	0.1965724415
21	0.1927000383
22	0.188349357
23	0.1874019301
24	0.1859209752
25	0.1846875918
26	0.1811606236
27	0.1793514432
28	0.1780619071
29	0.1767717257
30	0.1741185419
31	0.1719598798
32	0.1699059064
33	0.1678697863
34	0.1656771027
35	0.1644745303
36	0.1622644418
37	0.1610231626
38	0.1588404738
39	0.1563627354
40	0.1544909366
41	0.1517905857
42	0.1505537349
43	0.1472965051
44	0.1456218598
45	0.1445620149
46	0.1428384829
47	0.1410371035
48	0.139831121
49	0.1386719371
50	0.1366745185
51	0.135408072
52	0.134517386
53	0.1316716367
54	0.1300823442
55	0.1289278901
56	0.1272160961
57	0.1257096278
58	0.1237163626
59	0.1223644324
60	0.119823963
61	0.1191652421
62	0.1187563111
63	0.1172843719
64	0.1155802341
65	0.1149188317
66	0.1136732328
67	0.1118334665
68	0.1114118714
69	0.1099142466
70	0.1078134124
71	0.105809642
72	0.1054958983
73	0.1029685551
74	0.1013314855
75	0.1009768437
76	0.09880937695
77	0.09854089033
78	0.09658810924
79	0.09540852793
80	0.09380445962
81	0.09250964967
82	0.09135812323
83	0.09003960961
84	0.08889939602
85	0.0871439315
86	0.08692016943
87	0.0867069791
88	0.08552115166
89	0.08398774787
90	0.08289288476
91	0.08111261605
92	0.07968745925
93	0.07889126261
94	0.07844601325
95	0.07819927071
96	0.0780246706
97	0.07761122608
98	0.07661793729
99	0.07501494154
