iter	Passed	Remaining
0	1	113
1	2	108
2	9	318
3	11	286
4	14	273
5	15	239
6	16	217
7	17	205
8	18	192
9	19	178
10	23	187
11	24	179
12	25	169
13	26	160
14	26	151
15	27	144
16	28	137
17	29	133
18	30	131
19	31	127
20	32	122
21	33	118
22	34	115
23	37	117
24	38	114
25	39	111
26	40	109
27	41	106
28	42	103
29	43	100
30	44	98
31	44	95
32	45	92
33	46	90
34	48	89
35	50	90
36	51	88
37	52	85
38	53	83
39	55	82
40	56	81
41	57	78
42	57	76
43	58	74
44	59	72
45	60	70
46	60	68
47	61	66
48	62	64
49	62	62
50	65	63
51	66	61
52	68	60
53	69	59
54	70	57
55	71	55
56	71	54
57	73	52
58	74	51
59	74	49
60	75	48
61	76	46
62	78	46
63	79	44
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	87	35
71	87	34
72	88	32
73	89	31
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	99	21
82	100	20
83	101	19
84	102	18
85	102	16
86	103	15
87	104	14
88	104	12
89	105	11
90	107	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	116	0
