county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
Davis,Single Family,2.0,1.0,862.0,4792.0,1941.0,360000.0
Weber,Single Family,3.0,1.0,1750.0,4792.0,1941.0,314999.0
Iron,Single Family,5.0,4.0,3000.0,21780.0,2021.0,540000.0
Utah,Single Family,3.0,2.5,4448.0,11326.0,2024.0,777400.0
Utah,Single Family,3.0,2.0,1050.0,4792.0,1998.0,379900.0
Salt Lake,Single Family,3.0,2.0,1492.0,8276.0,1954.0,575000.0
Salt Lake,Townhouse,5.0,3.0,3622.0,1307.0,2024.0,588900.0
Salt Lake,Single Family,4.0,1.0,2538.0,9148.0,1985.0,639900.0
Weber,Single Family,6.0,3.5,3598.0,10019.0,2007.0,649999.0
Utah,Single Family,3.0,2.5,4054.0,9148.0,2024.0,632525.0
Washington,Condo,2.0,2.0,1142.0,nan,1997.0,425000.0
Weber,Condo,2.0,2.0,1100.0,3485.0,2002.0,505000.0
Salt Lake,Townhouse,3.0,1.5,2064.0,1742.0,2021.0,509900.0
Utah,Single Family,7.0,4.5,5968.0,21780.0,1999.0,2050000.0
Salt Lake,Townhouse,3.0,2.5,2280.0,1307.0,2024.0,501900.0
Utah,Single Family,4.0,3.0,2252.0,11761.0,1986.0,525000.0
Summit,Townhouse,4.0,3.5,2390.0,1307.0,1996.0,1100000.0
Summit,Single Family,4.0,3.5,2390.0,1307.0,1996.0,1100000.0
Washington,Single Family,3.0,2.0,1499.0,10019.0,1977.0,375000.0
Utah,Single Family,6.0,4.5,7431.0,90169.0,1986.0,3999000.0
Washington,Townhouse,3.0,2.5,1430.0,871.0,2006.0,309900.0
Salt Lake,Condo,2.0,1.0,859.0,436.0,1979.0,245999.0
Washington,Single Family,3.0,2.0,1322.0,4356.0,1994.0,315000.0
Salt Lake,Single Family,5.0,2.0,1566.0,8712.0,1953.0,479000.0
Salt Lake,Single Family,7.0,3.5,4647.0,10454.0,2005.0,999900.0
Salt Lake,Single Family,3.0,2.5,2676.0,4792.0,2024.0,623960.0
Summit,Condo,2.0,2.0,817.0,871.0,1978.0,825000.0
Salt Lake,Single Family,3.0,1.0,2304.0,8712.0,1977.0,459000.0
Washington,Single Family,4.0,4.0,4572.0,3049.0,1986.0,639999.0
Tooele,Single Family,5.0,3.0,3647.0,12197.0,2024.0,680000.0
Washington,Townhouse,4.0,4.5,2319.0,2614.0,2024.0,714900.0
Washington,Townhouse,3.0,3.5,1624.0,1742.0,2024.0,600000.0
Salt Lake,Single Family,3.0,1.5,1708.0,12197.0,1954.0,600000.0
Salt Lake,Townhouse,4.0,3.5,2004.0,436.0,2001.0,454990.0
Salt Lake,Single Family,3.0,2.5,3072.0,3049.0,2021.0,594000.0
Washington,Townhouse,4.0,2.5,2003.0,1742.0,2024.0,410000.0
Salt Lake,Single Family,6.0,3.5,3624.0,4792.0,2016.0,673999.0
Washington,Single Family,4.0,4.0,2707.0,10454.0,2021.0,825000.0
Washington,Townhouse,4.0,4.5,2319.0,2614.0,2024.0,790000.0
Washington,Single Family,3.0,2.0,1464.0,8276.0,2007.0,435000.0
Salt Lake,Condo,3.0,3.0,2950.0,1742.0,1999.0,535000.0
Weber,Condo,2.0,1.0,1116.0,871.0,1979.0,227000.0
Washington,Single Family,6.0,3.5,3364.0,7841.0,2019.0,699900.0
Washington,Single Family,4.0,2.5,2653.0,10890.0,2015.0,698000.0
Utah,Single Family,4.0,1.0,1542.0,7841.0,1999.0,499900.0
Washington,Single Family,3.0,2.0,1748.0,14375.0,2020.0,599000.0
Utah,Single Family,5.0,3.5,3631.0,10890.0,2005.0,667000.0
Salt Lake,Condo,2.0,2.0,1183.0,436.0,2005.0,337000.0
Utah,Single Family,4.0,2.5,4807.0,13939.0,2024.0,1239800.0
Salt Lake,Single Family,4.0,1.5,2100.0,7841.0,1956.0,500000.0
Beaver,Single Family,3.0,3.0,2421.0,10019.0,1972.0,309900.0
Utah,Single Family,3.0,2.0,2071.0,8712.0,1959.0,489900.0
Summit,Condo,3.0,3.0,1757.0,nan,2022.0,2650000.0
Salt Lake,Condo,2.0,1.0,894.0,436.0,1973.0,280000.0
Cache,Single Family,7.0,4.0,4498.0,43560.0,2003.0,895000.0
Washington,Townhouse,3.0,3.5,1624.0,1742.0,2024.0,599900.0
