Actual,Predicted
525000,576469.010471665
400000,447602.84431870567
300000,344311.78096411785
750000,643443.0836421463
400000,509892.5626115164
255000,233315.90701892506
349990,338706.6749224559
565000,549881.4883996178
599500,581828.783606781
415000,359744.6096972076
619000,663296.1614429462
770000,710266.6858023349
1779000,1918931.1878710901
535000,495623.92930357065
399900,474337.4061579214
429900,514630.570457873
719000,855275.3013170362
475000,604148.3951261555
340000,344854.31596730393
729900,417766.64639470546
559848,547003.517369009
434900,425149.65175611165
370000,392626.3108722815
435000,532474.8750098209
419000,397579.54800373525
309900,243675.88806577213
489900,455103.88001522847
899900,525802.5721415211
414990,414028.8845608124
649900,615894.7954308189
489000,610823.2084323177
499000,661855.0483047997
445000,465095.4015077682
685000,766066.732497406
604900,672515.6145607743
264900,358048.7392234237
845000,750141.8544677306
559990,557804.259179944
650000,603128.5114230609
450000,438076.36625198176
598950,587938.6211790857
550000,568807.673418209
379000,410518.86168786656
334900,322506.9793179853
355000,347112.84633226186
373890,354207.86101076857
325000,320444.2067422219
1199000,1259664.3419720111
599900,523832.34864484903
400000,437623.264342318
642000,760370.3084190994
335000,376377.3003709387
489900,646059.5272932574
259900,284485.8787609477
198500,225532.33511668848
1095000,851794.136531428
349000,298464.7531032575
439000,434068.53282640147
435000,438893.92850665713
2999000,2442243.7924487824
394900,523886.1932246922
569900,456870.3278729387
580000,634046.2590988087
795000,1006381.528290333
450000,512428.2318161497
999999,1826620.1230418347
574500,513041.3504751693
370000,430785.1428287861
369000,494434.6693530134
395000,373241.20385750296
459900,453683.6861640206
569000,671695.7116907167
502555,412252.1988948337
629900,502384.09262358886
779900,686859.8007126076
1295000,961682.6802600143
475000,475029.8255795856
1359000,1598241.0189135806
379999,377771.4308372478
650000,605681.6347985122
559000,449907.22841232864
435000,351438.49818246614
390000,509955.81554999336
560900,500455.36804676545
519000,551753.389917423
434900,425159.50493840023
80000,193236.05722789047
699000,691185.8922531572
359000,522585.58019818173
454990,587385.9133238761
479900,501967.4357227891
639999,762191.4947776239
525000,634590.3255035724
899900,1807474.7647874546
724999,640847.6249113873
3550000,2871402.9118404426
1375000,2379657.5546064377
500000,518304.4203259134
1795000,1853525.725623647
371999,423314.54506649927
650000,506536.4340100415
525000,464804.01994712994
640000,692254.1812234338
899000,711420.057010138
299900,279691.66109343845
450000,504996.84003794455
447500,406128.5430800357
265000,296315.2758541828
480000,568134.7366583756
775000,691229.3167899619
548000,564227.617964391
1250000,919513.6078619964
415000,477126.550411616
265000,278554.82684447936
495000,468386.662417381
309900,508882.1498340647
3250000,2172656.153373755
479000,451986.7659374323
499900,492460.73133385536
1275000,1485232.9528931205
429900,445043.3037168552
679900,542726.9711146217
1600000,1731221.0436867143
579000,569950.2604547822
550000,651748.9065035762
415000,425453.52247400477
395000,390931.6112429438
230000,321822.5498103452
395000,413732.6488678422
824900,950639.3770296015
1299900,1737190.0318915637
699900,672479.9764630981
449900,499901.9752024626
789000,580211.1598371686
879900,1179703.2188232467
1274999,878308.3859620168
439900,442025.00864280696
614990,616417.8456027372
581000,481835.29077523336
559900,572273.626102245
114900,622240.0735128267
530000,521908.37250588665
275000,287100.963785527
575000,606388.2155231715
649000,808118.074813196
465000,595418.0898275333
784000,753855.060972502
599999,573410.5870891294
350000,422530.15411526046
625000,804028.5005164365
415000,465259.10125796986
415000,434713.07909767167
419900,407981.945995969
675261,742772.0836396962
530000,560441.2027324766
357900,389254.8530190468
499900,533769.1357913817
310000,287629.1047243977
250000,271843.02039172384
814000,881653.6382057081
649900,572917.5496822633
259000,234611.27909063478
424000,472772.7785462473
485000,554488.9467398565
415000,378766.48888207646
445000,455924.7669292904
860478,787148.2478577051
439999,427686.397788401
374990,369301.90794374177
799500,854622.023706992
250000,408930.27456120995
495000,482283.8907645849
349900,382494.30016896443
414900,427285.82134439953
519900,584293.7826175689
384900,441283.1014805833
1049900,1060322.7576172308
366000,354762.8621917512
412900,543238.0748642222
525000,433211.77976988425
659990,567975.3380369822
372800,391760.2745995959
479900,459277.44275991997
7999999,9931591.43070022
470000,480426.15066001867
699000,680619.52591463
349999,434739.9291761097
600000,621463.9190091011
565000,666270.4290945785
585000,644362.3440258327
329900,363335.7523799214
455000,434443.74050484423
614900,599214.4530971762
419999,466993.9060704082
849900,943006.0356846108
289900,322560.1182872838
390000,470193.8581659794
369000,386608.9522599057
387000,311640.54840952286
1775000,1390165.51559665
809999,681544.7552508407
604700,1564071.4586737035
1150000,1488328.4098977337
674900,708185.5913528171
400000,446386.5378659506
650000,649668.7985012801
539900,516006.3197960052
1025000,1299198.8169319099
599950,1174729.409167248
975000,1069769.0728593958
699000,640898.7194287028
450000,458933.86823767243
565000,658159.7573714973
615000,703440.5416952638
473000,455103.88001522847
823000,1018070.8567155227
2499999,1610563.566617631
440000,373509.31539933727
555000,459865.546079932
522725,518933.94291630085
450000,429110.85856770165
369900,460024.9524981608
334900,353189.75328579725
424900,440083.43782108265
415000,406702.15627903445
525000,495779.88739164715
560000,547154.3620054289
675000,755084.7529061529
520000,488616.088653031
1099900,1107983.1975287509
450000,455103.88001522847
850000,864969.8688734118
1395000,1426860.8658934268
395000,419806.3573324617
445000,440779.3064966128
1750000,1050455.7702048905
489000,470957.8362861308
995000,1001176.8666994135
639950,673630.228339062
495900,400380.275399294
279990,291460.30897404766
445000,451384.03905935254
469000,423791.0095213655
599999,574826.2422433334
335000,347957.466347861
22900000,22850002.20799333
505000,570616.4877202887
305000,307526.3021005745
375000,629806.912747142
355000,404254.09331252467
585900,1204224.389730314
549900,644869.821268699
469000,511282.7389164687
2900000,1831654.130640733
359000,391760.2745995959
599900,632348.4341371168
619900,528339.469598184
719900,693783.7469395282
443450,462451.83843085315
630000,582468.6943111146
900000,878236.5420441276
335000,416487.5980815351
5285000,2434252.049041793
350000,357392.80805937515
675000,726137.611322484
589900,690381.7333532932
